config_id,lr,weight_decay,dropout_base,hidden_dims,num_layers,val_f1,val_precision,val_recall
28,0.001,1e-06,0.35,"[512, 256, 128]",3,97.36365100131053,97.39456592529467,97.34904590377906
37,0.001,5e-06,0.35,"[512, 256, 128]",3,97.36365100131053,97.39456592529467,97.34904590377906
46,0.001,1e-05,0.35,"[512, 256, 128]",3,97.36365100131053,97.39456592529467,97.34904590377906
32,0.001,1e-06,0.4,"[1024, 512, 256, 128]",4,97.29734434248417,97.29606126919805,97.32154815850015
41,0.001,5e-06,0.4,"[1024, 512, 256, 128]",4,97.29734434248417,97.29606126919805,97.32154815850015
50,0.001,1e-05,0.4,"[1024, 512, 256, 128]",4,97.29734434248417,97.29606126919805,97.32154815850015
43,0.001,5e-06,0.45,"[512, 256, 128]",3,97.26197781628979,97.24982987319936,97.27880990159392
34,0.001,1e-06,0.45,"[512, 256, 128]",3,97.26197781628979,97.24982987319936,97.27880990159392
52,0.001,1e-05,0.45,"[512, 256, 128]",3,97.26197781628979,97.24982987319936,97.27880990159392
10,0.0005,5e-06,0.35,"[512, 256, 128]",3,97.25435631456666,97.26253494546843,97.26509104840545
1,0.0005,1e-06,0.35,"[512, 256, 128]",3,97.25435631456666,97.26253494546843,97.26509104840545
19,0.0005,1e-05,0.35,"[512, 256, 128]",3,97.25435631456666,97.26253494546843,97.26509104840545
71,0.002,5e-06,0.45,"[1024, 512, 256, 128]",4,97.25417583771451,97.28689606683993,97.2386493065304
62,0.002,1e-06,0.45,"[1024, 512, 256, 128]",4,97.25417583771451,97.28689606683993,97.2386493065304
80,0.002,1e-05,0.45,"[1024, 512, 256, 128]",4,97.25417583771451,97.28689606683993,97.2386493065304
15,0.0005,5e-06,0.4,"[1024, 512, 256, 128, 64]",5,97.2002641227127,97.23798004881343,97.17592782420304
6,0.0005,1e-06,0.4,"[1024, 512, 256, 128, 64]",5,97.2002641227127,97.23798004881343,97.17592782420304
24,0.0005,1e-05,0.4,"[1024, 512, 256, 128, 64]",5,97.2002641227127,97.23798004881343,97.17592782420304
8,0.0005,1e-06,0.45,"[1024, 512, 256, 128]",4,97.1983330251664,97.22244894132619,97.19723083295679
26,0.0005,1e-05,0.45,"[1024, 512, 256, 128]",4,97.1983330251664,97.22244894132619,97.19723083295679
17,0.0005,5e-06,0.45,"[1024, 512, 256, 128]",4,97.1983330251664,97.22244894132619,97.19723083295679
53,0.001,1e-05,0.45,"[1024, 512, 256, 128]",4,97.16303634892911,97.18546271927183,97.1691568605382
35,0.001,1e-06,0.45,"[1024, 512, 256, 128]",4,97.16303634892911,97.18546271927183,97.1691568605382
44,0.001,5e-06,0.45,"[1024, 512, 256, 128]",4,97.16303634892911,97.18546271927183,97.1691568605382
40,0.001,5e-06,0.4,"[512, 256, 128]",3,97.1371618298532,97.14308909752536,97.15361401110265
49,0.001,1e-05,0.4,"[512, 256, 128]",3,97.1371618298532,97.14308909752536,97.15361401110265
31,0.001,1e-06,0.4,"[512, 256, 128]",3,97.1371618298532,97.14308909752536,97.15361401110265
36,0.001,1e-06,0.45,"[1024, 512, 256, 128, 64]",5,97.13064105233012,97.13155541486616,97.14691706774265
54,0.001,1e-05,0.45,"[1024, 512, 256, 128, 64]",5,97.13064105233012,97.13155541486616,97.14691706774265
45,0.001,5e-06,0.45,"[1024, 512, 256, 128, 64]",5,97.13064105233012,97.13155541486616,97.14691706774265
25,0.0005,1e-05,0.45,"[512, 256, 128]",3,97.09898261377799,97.10251569458894,97.11693916373359
